"","opt","ins","net.wrth"
"1","noadpt",1,701903.007712333
"2","noadpt",0,673188.698139431
"3","noadpt",1,764092.931897048
"4","noadpt",0,760005.314634856
"5","noadpt",1,836511.306405473
"6","noadpt",0,824502.828003981
"7","noadpt",1,730455.240255806
"8","noadpt",0,719528.334342972
"9","noadpt",1,757336.790824661
"10","noadpt",0,664779.003338193
"11","noadpt",1,841327.949984336
"12","noadpt",0,838841.852716036
"13","noadpt",1,754297.521296593
"14","noadpt",0,703877.226958497
"15","noadpt",1,748484.77660901
"16","noadpt",0,730601.522548079
"17","noadpt",1,772283.031748225
"18","noadpt",0,749666.805427564
"19","noadpt",1,703884.446780776
"20","noadpt",0,694983.59684805
"21","noadpt",1,806087.439257786
"22","noadpt",0,794991.793533793
"23","noadpt",1,803021.773469745
"24","noadpt",0,787467.525798212
"25","noadpt",1,802941.02567824
"26","noadpt",0,794991.793533793
"27","noadpt",1,694975.554697906
"28","noadpt",0,679485.728580517
"29","noadpt",1,840831.866575986
"30","noadpt",0,838841.852716036
"31","noadpt",1,744470.604931774
"32","noadpt",0,730601.522548079
"33","noadpt",1,663785.304604683
"34","noadpt",0,630627.317563799
"35","noadpt",1,811579.220945103
"36","noadpt",0,787467.525798212
"37","noadpt",1,728371.559162665
"38","noadpt",0,695540.807898523
"39","noadpt",1,695971.36204321
"40","noadpt",0,690796.275508481
"41","noadpt",1,711258.370080161
"42","noadpt",0,693162.160170288
"43","noadpt",1,698896.79615862
"44","noadpt",0,679485.728580517
"45","noadpt",1,695258.212171378
"46","noadpt",0,690796.275508481
"47","noadpt",1,840630.21840896
"48","noadpt",0,838841.852716036
"49","noadpt",1,810903.337772814
"50","noadpt",0,787467.525798212
"51","noadpt",1,712959.144447737
"52","noadpt",0,706383.359205162
"53","noadpt",1,832554.377942932
"54","noadpt",0,824502.828003981
"55","noadpt",1,679482.109493831
"56","noadpt",0,673506.463989792
"57","noadpt",1,832763.18780891
"58","noadpt",0,806088.962985393
"59","noadpt",1,682300.382404504
"60","noadpt",0,654672.898142723
"61","noadpt",1,681569.203813215
"62","noadpt",0,668923.87678782
"63","noadpt",1,785474.569674581
"64","noadpt",0,783742.847284909
"65","noadpt",1,678079.016236937
"66","noadpt",0,673506.463989792
"67","noadpt",1,769363.167128183
"68","noadpt",0,749666.805427564
"69","noadpt",1,652665.480844391
"70","noadpt",0,636647.793048499
"71","noadpt",1,780297.065493557
"72","noadpt",0,664779.003338193
"73","noadpt",1,656817.185998716
"74","noadpt",0,630627.317563799
"75","noadpt",1,708384.83397515
"76","noadpt",0,678417.417537953
"77","noadpt",1,785450.388772586
"78","noadpt",0,783742.847284909
"79","noadpt",1,706466.242142702
"80","noadpt",0,698903.068459784
"81","noadpt",1,714111.573228236
"82","noadpt",0,706383.359205162
"83","noadpt",1,745016.300444018
"84","noadpt",0,740111.208475808
"85","noadpt",1,694593.593889529
"86","noadpt",0,699663.268583966
"87","noadpt",1,834415.667835097
"88","noadpt",0,826049.914637322
"89","noadpt",1,687193.740961229
"90","noadpt",0,679485.728580517
"91","noadpt",1,695819.727823126
"92","noadpt",0,690796.275508481
"93","noadpt",1,642631.206649643
"94","noadpt",0,618218.458206874
"95","noadpt",1,704756.252151646
"96","noadpt",0,693162.160170288
"97","noadpt",1,778392.081443209
"98","noadpt",0,749666.805427564
"99","noadpt",1,641121.806844109
"100","noadpt",0,608155.111658862
"101","noadpt",1,789503.992654915
"102","noadpt",0,766805.050933618
"103","noadpt",1,765582.756553339
"104","noadpt",0,760005.314634856
"105","noadpt",1,835160.796505077
"106","noadpt",0,828919.473040528
"107","noadpt",1,695129.08262183
"108","noadpt",0,690796.275508481
"109","noadpt",1,692586.997813213
"110","noadpt",0,679485.728580517
"111","noadpt",1,646034.149771974
"112","noadpt",0,608155.111658862
"113","noadpt",1,807893.80837649
"114","noadpt",0,700932.031586051
"115","noadpt",1,694251.352960859
"116","noadpt",0,679485.728580517
"117","noadpt",1,707845.988115071
"118","noadpt",0,685834.312160322
"119","noadpt",1,694199.479132286
"120","noadpt",0,690796.275508481
"121","noadpt",1,769613.300796879
"122","noadpt",0,760005.314634856
"123","noadpt",1,734914.023789207
"124","noadpt",0,719528.334342972
"125","noadpt",1,845135.513845046
"126","noadpt",0,846233.276263254
"127","noadpt",1,679029.427902505
"128","noadpt",0,673506.463989792
"129","noadpt",1,641871.663052737
"130","noadpt",0,608155.111658862
"131","noadpt",1,722392.398988809
"132","noadpt",0,712859.64625358
"133","noadpt",1,725146.657711689
"134","noadpt",0,731837.438938878
"135","noadpt",1,736338.130460136
"136","noadpt",0,695540.807898523
"137","noadpt",1,662513.913683971
"138","noadpt",0,636647.793048499
"139","noadpt",1,659742.95750547
"140","noadpt",0,628086.731066382
"141","noadpt",1,690996.718530924
"142","noadpt",0,679485.728580517
"143","noadpt",1,721580.760111033
