yr,adapt_choice,rev.calf,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.inc,cap.sales,cap.purch,cap.taxes,assets.cow,assets.cash,net.wrth,wn.succ,forage.production,herd,calves.sold,cows.culled,zone.change,Gt,forage.potential,mTurkID,simStartTime,timeElapse,household.exp,cost.adptexpend,total.forage
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,2000000,NA,NA,NA,NA,NA
1999,0,308880,0,0,308880,300000,0,0,0,360000,-51120,0,-51120,87550,0,13132.5,509762,23297.5,533059.5,0.88,0,600,396,103,1,-0.2372073869,1,2000000,2017-06-18 9:51:06,10.797996 secs,60000,0,1.2372074
2000,0,262014.3,0,291.21875,262305.6,300000,0,0,0,360000,-97694.44,0,-97694.44,87550,0,13132.5,509762,20.56126,509782.6,0.8479698,0,600,382,103,1.0237207,0.3619176147,1.0237207,2000000,2017-06-18 9:51:18, 9.235999 secs,60000,0,0.6380824
2001,0,284625.4,0,0.2570158,284625.7,300000,0,0,0,360000,-75374.34,0,-75374.34,87550,0,13132.5,509762,-936.27578,508825.7,0.8581822,0,600,386,103,0.9866705,0.1639557001,0.9866705,2000000,2017-06-18 9:51:29, 8.226934 secs,60000,0,0.8360443
2002,0,244688.3,0,0,244688.3,300000,0,0,60.85793,360060.9,-115372.52,0,-115372.52,87550,0,13132.5,505504,-41891.29477,463612.7,0.8379709,0,595,377,103,0.9704935,0.503689666,0.9704935,2000000,2017-06-18 9:51:39,10.127825 secs,60000,0,0.4963103
2003,0,282603,0,0,282603,297500,0,0,2722.93416,360222.9,-77619.93,0,-77619.93,86700,0,13005,504010,-45816.21996,458193.8,0.8582631,0,593,383,102,0.9216107,0.1620505226,0.9216107,2000000,2017-06-18 9:51:50, 9.925103 secs,60000,0,0.8379495
2004,0,283027,0,0,283027,296500,0,0,2978.0543,359478.1,-76451.04,0,-76451.04,86700,0,13005,496407.6,-48572.2609,447835.4,0.8587536,0,584,382,102,0.906676,0.1503522618,0.906676,2000000,2017-06-18 9:52:01, 7.371584 secs,60000,0,0.8496477
2005,0,301080,0,0,301080,292000,0,0,3157.19696,355157.2,-54077.2,0,-54077.2,85000,0,12750,494319.2,-30399.45786,463919.8,0.88,0,582,386,100,0.8930439,-0.1298475267,0.8930439,2000000,2017-06-18 9:52:10, 8.625495 secs,60000,0,1.1298475
2006,0,253044.7,0,0,253044.7,291000,0,0,1975.96476,352976,-99931.26,0,-99931.26,85000,0,12750,487433.9,-58080.72108,429353.2,0.8474923,0,573,370,100,0.9046398,0.3695976971,0.9046398,2000000,2017-06-18 9:52:20, 9.420902 secs,60000,0,0.6304023
2007,0,294840,0,0,294840,286500,0,0,3775.24687,350275.2,-55435.25,0,-55435.25,83300,0,12495,487214.6,-42710.96795,444503.6,0.88,0,573,378,98,0.8712046,-0.0007055363,0.8712046,2000000,2017-06-18 9:52:31, 9.502097 secs,60000,0,1.0007055
2008,0,277266,0,0,277266,286500,0,0,2776.21292,349276.2,-72010.17,0,-72010.17,83300,0,12495,478608.3,-43916.13518,434692.1,0.8600618,0,563,370,98,0.871266,0.117816573,0.871266,2000000,2017-06-18 9:52:42, 9.409133 secs,60000,0,0.8821834
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,1000000,NA,NA,NA,NA,NA
