sell1,shinyjs-delay-a1ff8218b3c49b5fab80202d7c1e3ce9,sell2,d1adaptExpend,simStart,premiumCost,user.ID,shinyjs-delay-8c4e6a3739f7697fc7203b67eee9e9ae,shinyjs-delay-b945a0d40ffc696df19f9c202bf958a7,infocash,year1Summer,herdetails,operatingCosts,cowRevenues,d2adaptExpend,year1Start,infonet,infohealth,shinyjs-delay-fc684fcd8cf3e65a1269348344008f3d,herdval,calves2Sale,cow1Sale,shinyjs-delay-f41f973568b961c3c698d86574bd9c51,shinyjs-delay-aaf00fc73a11a84356a69d911e6364ba,insuranceDeposit1,insurancePremium1,insuranceDeposit2,year2Summer,insurancePremium2,yearlingdesc,mainPanels,year2Start,extraFeedCost,rainInsurance,nextBtn,insCont1,shinyjs-delay-835f34737994e730617e13c5441fdd1a,insCont2,saveInputs,infocows,totalProfits,calfdesc,infocalves,cow2Sale,insurance,calves1Sale,Precipitation,shinyjs-delay-605edb9fe71f85ee0edf7479efc75337
1,100,1,0,1,0,dfgsdfg667,100,100,0,1,0,0,0,0,1,0,0,100,0,388,103,100,100,,,,1,,0,Ranch Simulation,1,0,0,1,1,10,1,1,0,0,0,0,103,0,382,0,10
10,1,1,100,0,1,0,final test,0,1,0,0,0,0,1,0,100,0,100,0,10,388,103,,,,1,,0,Ranch Simulation,1,0,0,1,100,1,100,1,1,0,0,0,0,103,0,100,382,0
sell1,shinyjs-delay-12d660c1383024a84957a719bb6e1469,sell2,d1adaptExpend,simStart,premiumCost,user.ID,shinyjs-delay-fdd3e1bfd190505190c99da8289f9558,infocash,year1Summer,herdetails,shinyjs-delay-124e12e55f64667926db8ea8c56a9043,operatingCosts,cowRevenues,d2adaptExpend,year1Start,infonet,infohealth,herdval,calves2Sale,cow1Sale,insuranceDeposit1,insurancePremium1,insuranceDeposit2,year2Summer,insurancePremium2,yearlingdesc,mainPanels,shinyjs-delay-80048acc28f68db6886a3186433db953,extraFeedCost,year2Start,shinyjs-delay-87932c26da6892cb8b5a261e45175a45,rainInsurance,nextBtn,insCont1,shinyjs-delay-ab26c9273dd279af3e0134b4e107d67b,insCont2,saveInputs,infocows,totalProfits,calfdesc,infocalves,cow2Sale,shinyjs-delay-d9bc1c16642242c01902daa601ea4e3e,insurance,shinyjs-delay-8f4b4f104c75a360890370f998ae2ee5,calves1Sale,Precipitation
1,100,1,0,1,0,456456456,100,0,1,0,10,0,0,0,1,0,0,0,388,103,,,,1,,0,Ranch Simulation,100,0,1,100,0,1,1,100,1,1,0,0,0,0,103,100,0,10,382,0
insurancePremium4,insurancePremium10,insurancePremium5,insurancePremium6,insurancePremium7,rainInsurance,shinyjs-delay-f5c40bc93bc6a1fe34f851f10f708aba,insurancePremium8,shinyjs-delay-775b49aede098959d8b15d6b9ac28910,mainPanels,insurancePremium9,shinyjs-delay-c0f99d6f5a4b3b7806f0c51073828cce,shinyjs-delay-dc8f6ce2e7efe592be180bba97bd80e2,shinyjs-delay-63f94efc0754a5f5ce49b34617fee7e4,dprac1adaptExpend,herdval,year3Start,d8adaptExpend,year7Summer,shinyjs-delay-e63a19ef4335a899f0981b4da720a819,dprac2adaptExpend,shinyjs-delay-d0c3ab46af0a1f2ca74f7776b1eba1e2,sellprac1,sellprac2,shinyjs-delay-16d44bc6c5c1e3d9fb72104226768be2,calves9Sale,cow7Sale,operatingCosts,shinyjs-delay-67622259f055befe9d1ca05ee067fc61,d10adaptExpend,cow2Sale,shinyjs-delay-50b8ec8bd09271f8ca5e686e83dc93c5,calves6Sale,shinyjs-delay-2bf13047f6beecd5d8095f65a3d47980,shinyjs-delay-766888faf4c493bcf127f77fc6da1ddf,shinyjs-delay-a79084e814e48b0aaa20c560590b8904,herdetails,insCont10,year9Summer,shinyjs-delay-5d9efd89f7f78c5a69b50618b1227366,shinyjs-delay-b4a32c0f924dbf2d19b9725141b8f539,shinyjs-delay-a394577919024f24b930f4fec8a2ee8f,d3adaptExpend,extraFeedCost,year6Start,year2Summer,user.ID,shinyjs-delay-bdad0ed9c0954f3a5b1e3fe6b1858e81
,,,,,0,100,,10,Ranch Simulation,,100,100,100,300,0,1,0,1,10,0,100,1,1,100,376,101,0,100,0,103,100,379,100,100,10,0,1,1,100,10,100,0,0,1,1,,10
year2Summer,infocalves,calfdesc,nextBtnprac,mainPanels,operatingCosts,dprac1adaptExpend,pracStart,year1Start,premiumCost,cow2Sale,shinyjs-delay-80176e8121b5eb1fe704ccaa6322dddf,sellprac1,insContprac1,shinyjs-delay-b3600a0993d7ba4ef02448990512e801,sellprac2,insContprac2,shinyjs-delay-37b225320d0c07aabb0faa5a712e59cb,shinyjs-delay-5dcd6f8854bcd23e374193641e83ded3,herdetails,extraFeedCost,year2Start,dprac2adaptExpend,calves2Sale,rainInsurance,shinyjs-delay-7ab5103524861fa3be3bd45d9749ff6f,infocash,shinyjs-delay-f199419ecaf780c5e065b651bc1ba7f9,herdval,insurancePremiumprac1,insurancePremiumprac2,year1Summer,infocows,totalProfits,yearlingdesc,shinyjs-delay-5e07dacc081a08739ff4b3236ede5f9c,cowRevenues,infonet,shinyjs-delay-9bc972f0dc77ba2995b0433d95ac7f1d,shinyjs-delay-dad755b32160b00442f7b1044a8fd0dd,user.ID,shinyjs-delay-16e31dd025f17c18875da26f1943528d,calves1Sale,insurance,cow1Sale,shinyjs-delay-04b793dc3de44d319f37922d0efe914e,shinyjs-delay-0e04572290d26ac30dd0b51130ca659e,infohealth
1,0,0,1,Practice Simulation,0,0,1,1,0,103,100,1,1,100,1,1,100,10,0,0,1,0,396,0,100,0,100,0,,,1,0,0,0,100,0,0,100,100,765,100,396,0,103,10,100,0
year2Summer,infocalves,calfdesc,nextBtnprac,mainPanels,operatingCosts,dprac1adaptExpend,pracStart,year1Start,premiumCost,cow2Sale,shinyjs-delay-80176e8121b5eb1fe704ccaa6322dddf,sellprac1,insContprac1,shinyjs-delay-b3600a0993d7ba4ef02448990512e801,sellprac2,insContprac2,shinyjs-delay-37b225320d0c07aabb0faa5a712e59cb,shinyjs-delay-5dcd6f8854bcd23e374193641e83ded3,herdetails,simStart,extraFeedCost,year2Start,dprac2adaptExpend,calves2Sale,rainInsurance,shinyjs-delay-7ab5103524861fa3be3bd45d9749ff6f,infocash,shinyjs-delay-f199419ecaf780c5e065b651bc1ba7f9,herdval,insurancePremiumprac1,insurancePremiumprac2,year1Summer,infocows,totalProfits,yearlingdesc,shinyjs-delay-5e07dacc081a08739ff4b3236ede5f9c,cowRevenues,infonet,shinyjs-delay-9bc972f0dc77ba2995b0433d95ac7f1d,shinyjs-delay-dad755b32160b00442f7b1044a8fd0dd,user.ID,shinyjs-delay-16e31dd025f17c18875da26f1943528d,calves1Sale,insurance,cow1Sale,shinyjs-delay-04b793dc3de44d319f37922d0efe914e,shinyjs-delay-0e04572290d26ac30dd0b51130ca659e
1,0,0,1,Practice Simulation,0,0,1,1,0,103,100,1,1,100,1,1,100,10,0,0,0,1,0,396,0,100,0,100,0,,,1,0,0,0,100,0,0,100,100,765,100,396,0,103,10,100
