yr,adapt_choice,rev.calf,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.inc,cap.sales,cap.purch,cap.taxes,assets.cow,assets.cash,net.wrth,wn.succ,forage.production,herd,calves.sold,cows.culled,zone.change,Gt,forage.potential,rangeHealth,mTurkID,simStartTime,timeElapse,household.exp,cost.adptexpend,total.forage
1951,0,295112.4,0,0,295112.4,3.00E+05,5654.82,0,0,365654.8,-70542.45,0,-70542.45,87550,0,13132.5,510000,3875.048,513875,0.8616777,0,600,388,103,1,0.07461967,1,99,1000000,2017-06-20 14:17:03,24.37214 secs,60000,0,0.9253803
1952,0,277180.7,9028.8,48.43809,286257.9,3.00E+05,5654.82,0,0,365654.8,-79396.89,0,-79396.89,116450,0,17467.5,481100,23460.66,504560.7,0.8551417,0,566,385,137,0.992538,0.2309621,0.992538,97,1000000,2017-06-20 14:17:03,31.35895 secs,60000,800,0.7690379
1953,0,291720,0,293.2582,292013.3,283000,5654.82,0,0,348654.8,-56641.56,0,-56641.56,82450,0,12367.5,484500,36901.6,521401.6,0.88,0,570,374,97,0.9696142,-0.01403775,0.9696142,97,1000000,2017-06-20 14:17:03,14.50697 secs,60000,0,1.014038
1954,0,232704.7,26767.2,461.2699,259933.2,285000,5654.82,0,0,350654.8,-90721.66,0,-90721.66,83300,0,12495,462400,16984.93,479384.9,0.8382692,0,544,358,98,0.9709753,0.4999497,0.9709753,92,1000000,2017-06-20 14:17:03,11.06347 secs,60000,0,0.5000503
1955,0,280020,0,212.3116,280232.3,272000,5654.82,0,0,337654.8,-57422.51,0,-57422.51,79050,0,11857.5,469200,26754.92,495954.9,0.88,0,552,359,93,0.9224314,-0.05815656,0.9224314,0,1000000,2017-06-20 14:17:03,9.28864 secs,60000,0,1.058157
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1234567,NA,NA,NA,NA,NA
1951,0,295112.4,0,0,295112.4,3.00E+05,5654.82,0,0,365654.8,-70542.45,0,-70542.45,87550,0,13132.5,510000,3875.048,513875,0.8616777,0,600,388,103,1,0.07461967,1,99,1234567,2017-06-20 14:32:23,42.33136 secs,60000,0,0.9253803
1952,0,276506.6,9028.8,48.43809,285583.9,3.00E+05,5654.82,0,0,365654.8,-80070.96,0,-80070.96,87550,0,13132.5,510000,-1778.417,508221.6,0.8548143,0,600,385,103,0.992538,0.2376961,0.992538,97,1234567,2017-06-20 14:32:23,13.70547 secs,60000,0,0.7623039
1953,0,298192.8,0,0,298192.8,3.00E+05,5654.82,0,115.5971,365770.4,-67577.59,0,-67577.59,87550,0,13132.5,507450,5061.494,512511.5,0.8627419,0,597,388,103,0.9689458,0.04408378,0.9689458,96,1234567,2017-06-20 14:32:23,8.836351 secs,60000,0,0.9559162
1954,0,240604.5,26767.2,63.26868,267435,298500,5654.82,0,0,364154.8,-96719.84,0,-96719.84,86700,0,13005,504900,-17963.35,486936.6,0.8361767,0,594,374,102,0.9646743,0.5256632,0.9646743,91,1234567,2017-06-20 14:32:23,7.187699 secs,60000,0,0.4743368
1955,0,296315.2,0,0,296315.2,297000,5654.82,0,1167.618,363822.4,-67507.27,0,-67507.27,86700,0,13005,501500,-11775.62,489724.4,0.862886,0,590,385,102,0.9139649,0.03980855,0.9139649,0,1234567,2017-06-20 14:32:23,9.545457 secs,60000,0,0.9601914
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1000222,NA,NA,NA,NA,NA
1951,0,308880,0,0,308880,3.00E+05,5654.82,0,0,365654.8,-56774.82,0,-56774.82,87550,0,13132.5,510000,17642.68,527642.7,0.88,0,600,396,103,1,-0.009555412,1,100,1000222,2017-06-20 20:45:31,18.58531 secs,60000,10000,1.009555
