yr,adapt_choice,rev.calf,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.inc,cap.sales,cap.purch,cap.taxes,assets.cow,assets.cash,net.wrth,wn.succ,forage.production,herd,calves.sold,cows.culled,zone.change,Gt,forage.potential,rangeHealth,mTurkID,simStartTime,timeElapse,household.exp,total.forage
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,practiceRound,NA,NA,NA,NA
1999,0,308880,0,0,308880,300000,5654.82,0,0,365654.8,-56774.82,0,-56774.82,87550,0,13132.5,510000,17642.68,527642.7,0.88,0,600,396,103,1,-0.237207387,1,100,practiceRound,2017-06-21 12:42:26,16.27792 secs,60000,1.2372074
2000,0,262014.3,36297.6,220.5335,298532.5,300000,5654.82,0,0,365654.8,-67122.34,0,-67122.34,87550,0,13132.5,510000,24937.84,534937.8,0.8479698,0,600,382,103,1.0237207,0.361917615,1.0237207,99,practiceRound,2017-06-21 12:42:26,24.32512 secs,60000,0.6380824
2001,0,284625.4,3556.8,311.723,288493.9,300000,5654.82,0,0,365654.8,-77160.89,0,-77160.89,87550,0,13132.5,510000,22194.44,532194.4,0.8581822,0,600,386,103,0.9866705,0.1639557,0.9866705,97,practiceRound,2017-06-21 12:42:26,18.21562 secs,60000,0.8360443
2002,0,244688.3,38076,277.4306,283041.8,300000,5654.82,0,0,365654.8,-82613.05,0,-82613.05,87550,0,13132.5,505750,13998.89,519748.9,0.8379709,0,595,377,103,0.9704935,0.503689666,0.9704935,92,practiceRound,2017-06-21 12:42:26,26.48172 secs,60000,0.4963103
2003,0,282603,14592,174.9862,297370,297500,5654.82,0,0,363154.8,-65784.82,0,-65784.82,86700,0,13005,504050,21909.07,525959.1,0.8582631,0,593,383,102,0.9216107,0.162050523,0.9216107,91,practiceRound,2017-06-21 12:42:26,30.74290 secs,60000,0.8379495
2004,0,283027,4742.4,273.8634,288043.3,296500,5654.82,0,0,362154.8,-74111.54,0,-74111.54,86700,0,13005,496400,21492.53,517892.5,0.8587536,0,584,382,102,0.906676,0.150352262,0.906676,89,practiceRound,2017-06-21 12:42:26,21.06722 secs,60000,0.8496477
2005,0,301080,0,268.6566,301348.7,292000,5654.82,0,0,357654.8,-56306.16,0,-56306.16,85000,0,12750,494700,37436.36,532136.4,0.88,0,582,386,100,0.8930439,-0.129847527,0.8930439,90,practiceRound,2017-06-21 12:42:26,17.12914 secs,60000,1.1298475
2006,0,253044.7,21842.4,467.9545,275355.1,291000,5654.82,0,0,356654.8,-81299.76,0,-81299.76,85000,0,12750,487050,28386.6,515436.6,0.8474923,0,573,370,100,0.9046398,0.369597697,0.9046398,87,practiceRound,2017-06-21 12:42:26,44.78957 secs,60000,0.6304023
2007,0,294840,2918.4,354.8325,298113.2,286500,5654.82,0,0,352154.8,-54041.59,0,-54041.59,83300,0,12495,487050,45150.01,532200,0.88,0,573,378,98,0.8712046,-0.000705536,0.8712046,87,practiceRound,2017-06-21 12:42:26,19.28031 secs,60000,1.0007055
2008,0,277266,3009.6,564.3751,280840,286500,5654.82,0,0,352154.8,-71314.8,0,-71314.8,83300,0,12495,478550,44640.21,523190.2,0.8600618,0,563,370,98,0.871266,0.117816573,0.871266,0,practiceRound,2017-06-21 12:42:26,21.27346 secs,60000,0.8821834
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2887087,NA,NA,NA,NA
1999,0,319800,0,0,319800,3.00E+05,0,0,0,360000,-40200,0,-40200,76500,0,11475,521050,24825,545875,0.88,0,613,410,90,1,-0.2372074,1,100,2887087,2017-06-21 20:10:00,1.40796 mins,60000,1.237207
2000,0,297342.6,0,310.3125,297652.9,306500,0,20000,0,386500,-88847.07,0,-88847.07,89250,0,13387.5,518500,11840.43,530340.4,0.8561035,0,610,410,105,1.023721,0.2106696,1.023721,100,2887087,2017-06-21 20:10:00,1.412764 mins,60000,0.7893304
2001,0,291179.5,0,148.0054,291327.5,305000,0,0,0,365000,-73672.5,0,-73672.5,95200,0,14280,508300,19087.94,527387.9,0.8581481,0,598,395,112,1.002154,0.1647566,1.002154,99,2887087,2017-06-21 20:10:00,1.248261 mins,60000,0.8352434
2002,0,269497.4,0,238.5992,269736,299000,0,18000,0,377000,-107264,0,-107264,103700,0,15555,476000,-31.04642,475969,0.8491629,0,560,390,122,0.9856429,0.3422345,0.9856429,95,2887087,2017-06-21 20:10:00,1.072904 mins,60000,0.6577655
2003,0,265682.9,0,0,265682.9,280000,0,0,2.018017,340002,-74319.08,0,-74319.08,81600,0,12240,471750,-4990.128,466759.9,0.8614688,0,555,350,96,0.9519108,0.08040729,0.9519108,94,2887087,2017-06-21 20:10:00,49.18388 mins,60000,0.9195927
2004,0,258846.2,0,0,258846.2,277500,0,0,324.3583,337824.4,-78978.2,0,-78978.2,51000,0,7650,471750,-40618.33,431131.7,0.8623841,0,555,338,60,0.9442567,0.0545499,0.9442567,94,2887087,2017-06-21 20:10:00,56.64818 mins,60000,0.9454501
2005,0,270660,0,0,270660,277500,0,0,2640.192,340140.2,-69480.19,0,-69480.19,73950,0,11092.5,483650,-47241.02,436409,0.88,0,569,347,87,0.9391058,-0.2502056,0.9391058,96,2887087,2017-06-21 20:10:00,42.46498 mins,60000,1.250206
2006,0,302640,0,0,302640,284500,0,40000,3070.667,387570.7,-84930.67,0,-84930.67,73100,0,10965,505750,-70036.69,435713.3,0.88,0,595,388,86,0.9626028,-0.04116404,0.9626028,97,2887087,2017-06-21 20:10:00,2.202627 mins,60000,1.041164
2007,0,305760,0,0,305760,297500,0,0,4552.385,362052.4,-56292.38,0,-56292.38,100300,0,15045,510850,-41074.07,469775.9,0.88,0,601,392,118,0.9665653,-0.06919028,0.9665653,97,2887087,2017-06-21 20:10:00,1.062181 mins,60000,1.06919
2008,0,296540.5,0,0,296540.5,300500,0,0,2669.815,363169.8,-66629.3,0,-66629.3,91800,0,13770,509150,-29673.37,479476.6,0.8621788,0,599,388,108,0.9732529,0.06046277,0.9732529,0,2887087,2017-06-21 20:10:00,1.095927 mins,60000,0.9395372
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2679012,NA,NA,NA,NA
1999,0,308880,0,0,308880,3.00E+05,0,0,0,360000,-51120,0,-51120,87550,0,13132.5,510000,23297.5,533297.5,0.88,0,600,396,103,1,-0.2372074,1,100,2679012,2017-06-21 20:07:53,3.260133 secs,60000,1.237207
2000,0,308880,0,291.2188,309171.2,3.00E+05,0,56000,0,416000,-106828.8,0,-106828.8,87550,0,13132.5,510000,-9113.781,500886.2,0.88,0,600,396,103,1.023721,-0.1094629,1.023721,100,2679012,2017-06-21 20:07:53,1.053611 secs,60000,1.109463
2001,0,296659.8,0,0,296659.8,3.00E+05,0,10300,592.3958,370892.4,-74232.63,0,-74232.63,87550,0,13132.5,510000,-8928.915,501071.1,0.8630011,0,600,385,103,1.034927,0.03636601,1.034927,100,2679012,2017-06-21 20:07:53,1.721136 secs,60000,0.963634
2002,0,308880,0,0,308880,3.00E+05,0,63000,580.3795,423580.4,-114700.4,0,-114700.4,87550,0,13132.5,510000,-49211.79,460788.2,0.88,0,600,396,103,1.031163,-0.0576398,1.031163,100,2679012,2017-06-21 20:07:53,25.50545 secs,60000,1.05764
2003,0,296093.2,0,0,296093.2,3.00E+05,0,0,3198.767,363198.8,-67105.57,0,-67105.57,87550,0,13132.5,510000,-41899.87,468100.1,0.8620233,0,600,388,103,1.037107,0.06489697,1.037107,100,2679012,2017-06-21 20:07:53,17.30009 secs,60000,0.935103
2004,0,329160,0,0,329160,3.00E+05,0,12600,2723.491,375323.5,-46163.49,0,-46163.49,87550,0,13132.5,510000,-13645.86,496354.1,0.88,0,600,422,103,1.030376,-0.06036308,1.030376,100,2679012,2017-06-21 20:07:53,1.026343 secs,60000,1.060363
2005,0,312000,0,0,312000,3.00E+05,0,0,886.9808,360887,-48886.98,0,-48886.98,87550,0,13132.5,507450,11884.66,519334.7,0.88,0,597,400,103,1.036596,-0.276492,1.036596,100,2679012,2017-06-21 20:07:53,6.150142 secs,60000,1.276492
2006,0,293280,0,148.5583,293428.6,298500,0,63800,0,422300,-128871.4,0,-128871.4,86700,0,13005,487050,-43291.78,443758.2,0.88,0,573,376,102,1.065257,-0.2634132,1.065257,100,2679012,2017-06-21 20:07:53,10.0242 secs,60000,1.263413
2007,0,298740,0,0,298740,286500,0,0,2813.966,349314,-50573.97,0,-50573.97,83300,0,12495,486200,-23060.75,463139.3,0.88,0,572,383,98,1.093317,-0.2558343,1.093317,100,2679012,2017-06-21 20:07:53,0.9285526 secs,60000,1.255834
2008,0,312000,0,0,312000,286000,0,2700,1498.949,350198.9,-38198.95,0,-38198.95,83300,0,12495,487900,9545.305,497445.3,0.88,0,574,400,98,1.121288,-0.1373231,1.121288,0,2627698,2017-06-21 20:07:53,8.357007 secs,60000,1.137323
