yr,adapt_choice,rev.calf,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.inc,cap.sales,cap.purch,cap.taxes,assets.cow,assets.cash,net.wrth,wn.succ,forage.production,herd,calves.sold,cows.culled,zone.change,Gt,forage.potential,rangeHealth,mTurkID,simStartTime,timeElapse,household.exp,cost.adptexpend,total.forage
1951,0,295112.4,0,0,295112.4,3.00E+05,5654.82,0,0,365654.8,-70542.45,0,-70542.45,87550,0,13132.5,510000,3875.048,513875,0.8616777,0,600,388,103,1,0.07461967,1,99,practiceRound,2017-06-20 14:17:03,24.37214 secs,60000,0,0.9253803
1952,0,277180.7,9028.8,48.43809,286257.9,3.00E+05,5654.82,0,0,365654.8,-79396.89,0,-79396.89,116450,0,17467.5,481100,23460.66,504560.7,0.8551417,0,566,385,137,0.992538,0.2309621,0.992538,97,practiceRound,2017-06-20 14:17:03,31.35895 secs,60000,800,0.7690379
1953,0,291720,0,293.2582,292013.3,283000,5654.82,0,0,348654.8,-56641.56,0,-56641.56,82450,0,12367.5,484500,36901.6,521401.6,0.88,0,570,374,97,0.9696142,-0.01403775,0.9696142,97,practiceRound,2017-06-20 14:17:03,14.50697 secs,60000,0,1.014038
1954,0,232704.7,26767.2,461.2699,259933.2,285000,5654.82,0,0,350654.8,-90721.66,0,-90721.66,83300,0,12495,462400,16984.93,479384.9,0.8382692,0,544,358,98,0.9709753,0.4999497,0.9709753,92,practiceRound,2017-06-20 14:17:03,11.06347 secs,60000,0,0.5000503
1955,0,280020,0,212.3116,280232.3,272000,5654.82,0,0,337654.8,-57422.51,0,-57422.51,79050,0,11857.5,469200,26754.92,495954.9,0.88,0,552,359,93,0.9224314,-0.05815656,0.9224314,0,practiceRound,2017-06-20 14:17:03,9.28864 secs,60000,0,1.058157
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2627698,NA,NA,NA,NA,
1951,0,308880,0,0,308880,3.00E+05,0,20000,0,380000,-71120,0,-71120,87550,0,13132.5,510000,3297.5,513297.5,0.88,0,600,396,103,1,-0.0937305,1,100,2627698,2017-06-21 20:07:53,4.903098 secs,60000,1.09373,
1952,0,295250.4,0,41.21875,295291.6,3.00E+05,0,18000,0,378000,-82708.35,0,-82708.35,87550,0,13132.5,510000,-4993.352,505006.6,0.8617267,0,600,388,103,1.009373,0.0732511,1.009373,100,2627698,2017-06-21 20:07:53,1.622146 secs,60000,0.9267489,
1953,0,301480.4,0,0,301480.4,3.00E+05,0,0,324.5679,360324.6,-58844.13,0,-58844.13,87550,0,13132.5,510000,10580.02,520580,0.8638108,0,600,388,103,1.001979,0.01149449,1.001979,100,2627698,2017-06-21 20:07:53,55.68802 secs,60000,0.9885055,
1954,0,283399.4,0,132.2502,283531.6,3.00E+05,0,39700,0,399700,-116168.4,0,-116168.4,87550,0,13132.5,507450,-31170.85,476279.2,0.8576562,0,597,386,103,1.000828,0.1761719,1.000828,98,2627698,2017-06-21 20:07:53,10.74275 secs,60000,0.8238281,
1955,0,307320,0,0,307320,298500,0,0,2026.105,360526.1,-53206.11,0,-53206.11,86700,0,13005,506600,-10681.95,495918,0.88,0,596,394,102,0.9831958,-0.02773329,0.9831958,0,2627698,2017-06-21 20:07:53,44.43693 secs,60000,1.027733,
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1999999,NA,NA,NA,NA,
1951,0,316333.4,0,0,316333.4,3.00E+05,5654.82,7600,0,373254.8,-56921.44,0,-56921.44,60350,0,9052.5,537200,-5623.944,531576.1,0.8638378,0,632,407,71,1,0.01064661,1,100,1999999,2017-06-21 20:11:14,52.15867 secs,60000,0.9893534,
1952,0,363200.7,9028.8,0,372229.5,316000,5654.82,0,365.5564,382020.4,-9790.858,0,-9790.858,25500,0,3825,597550,6260.198,603810.2,0.8530998,0,703,512,30,0.9989353,0.2716292,0.9989353,97,1999999,2017-06-21 20:11:14,28.0678 secs,60000,0.7283708,
1953,0,417666.8,0,78.25248,417745.1,351500,5654.82,0,0,417154.8,590.248,185.3379,404.9101,39100,0,5865,647700,39900.11,687600.1,0.8574126,0,762,570,46,0.9718013,0.1817354,0.9718013,95,1999999,2017-06-21 20:11:14,1.4276 secs,60000,0.8182646,
1954,0,461565.7,26767.2,498.7514,488831.6,381000,5654.82,74100,0,520754.8,-31923.21,0,-31923.21,21250,0,3187.5,672350,26039.4,698389.4,0.8591258,0,791,621,25,0.9541403,0.1413002,0.9541403,94,1999999,2017-06-21 20:11:14,1.020635 secs,60000,0.8586998,
1955,0,456287.6,0,325.4925,456613.1,395500,5654.82,0,0,461154.8,-4541.698,0,-4541.698,18700,0,2805,694450,37392.7,731842.7,0.8538073,0,817,640,22,0.9406582,0.2578868,0.9406582,0,1999999,2017-06-21 20:11:14,59.97606 secs,60000,0.7421132,
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2887087,NA,NA,NA,NA,
1951,0,295112.4,0,0,295112.4,3.00E+05,0,0,0,360000,-64887.63,0,-64887.63,87550,0,13132.5,510000,9529.868,519529.9,0.8616777,0,600,388,103,1,0.07461967,1,99,2887087,2017-06-21 20:10:00,22.09529 secs,60000,0.9253803,
1952,0,292532.1,0,119.1233,292651.3,3.00E+05,0,6000,0,366000,-73348.75,0,-73348.75,81600,0,12240,515950,5541.119,521491.1,0.8571713,0,607,400,96,0.992538,0.1871911,0.992538,97,2887087,2017-06-21 20:10:00,1.240696 secs,60000,0.8128089,
1953,0,306777.2,0,69.26398,306846.5,303500,0,0,0,363500,-56653.53,0,-56653.53,81600,0,12240,519350,18247.59,537597.6,0.862533,0,611,400,96,0.9739586,0.05021915,0.9739586,97,2887087,2017-06-21 20:10:00,58.61883 secs,60000,0.9497809,
1954,0,275292.8,0,228.0949,275520.9,305500,0,18000,0,383500,-107979.1,0,-107979.1,89250,0,13387.5,507450,-13869.05,493580.9,0.8464732,0,597,405,105,0.9690675,0.3856338,0.9690675,93,2887087,2017-06-21 20:10:00,1.901311 secs,60000,0.6143662,
1955,0,289955.4,0,0,289955.4,298500,0,0,901.4884,359401.5,-69446.08,0,-69446.08,86700,0,13005,504050,-9620.133,494429.9,0.8633401,0,593,375,102,0.931697,0.02609837,0.931697,0,2887087,2017-06-21 20:10:00,57.09607 secs,60000,0.9739016,
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2152241,NA,NA,NA,NA,
1951,0,307783.8,0,0,307783.8,3.00E+05,0,7600,0,367600,-59816.17,0,-59816.17,76500,0,11475,521050,5208.825,526258.8,0.8638378,0,613,396,90,1,0.01064661,1,100,2152241,2017-06-21 20:14:18,3.924284 mins,60000,0.9893534,
1952,0,94422.17,0,65.11032,94487.28,306500,0,7800,0,374300,-279812.7,0,-279812.7,382500,0,57375,225250,50521.11,275771.1,0.8572778,0,265,129,450,0.9989353,0.1847891,0.9989353,98,2152241,2017-06-21 20:14:18,55.98148 mins,60000,0.8152109,
1953,0,83460,0,631.5139,84091.51,132500,0,0,0,192500,-108408.5,0,-108408.5,0,0,0,325550,-57887.38,267662.6,0.88,0,383,107,0,0.9804761,-1.190094,0.9804761,100,2152241,2017-06-21 20:14:18,3.061184 mins,60000,2.190094,
1954,0,182443.6,0,0,182443.6,191500,0,0,3762.68,255262.7,-72819.08,0,-72819.08,34000,0,5100,358700,-101806.5,256893.5,0.8583885,0,422,247,40,1.097162,0.1590845,1.097162,100,2152241,2017-06-21 20:14:18,1.338459 mins,60000,0.8409155,
